id,category_id,technical_requirements,soft_skills,domain_knowledge,education_requirement,experience_level,project_experience
17,1,"python, design, matlab, build, full, system, code, application, jira, test, integration, data","project, task, active, learning, work, curiosity, analytical, communication",Unknown,Unknown,Senior,"development, system, code, application, test"
18,1,"c, design, debugging, build, computer, design patterns, software, java, unit, application, web, programming, data, command, documentation, software development","project, debugging, time, growth, critical, flexibility, learning, work, documentation, communication",network,PhD,Mid-Level,"development, application, web, develop, implementation, framework"
19,1,"python, design, application development, software engineering, algorithms, computer, software, code, coding, data, command, software development","problem, project, growth, learning, written","network, testing",Unknown,Senior,"development, code, application, testing, develop, refactoring"
20,1,"data, continuous, documentation","communication skills, project, collaboration, collaborative, growth, time management, learning, work, documentation, analytical",Unknown,PhD,Unknown,"develop, framework, development, implementation"
21,1,"c, design, performance, test, github, software development, programming","creativity, written communication, critical, feedback, task, attention to detail, work, analytical",Unknown,Unknown,Mid-Level,"test, develop, development"
22,1,"c, software engineer, computer, software, java, sql, programming","communication skills, project, analytical thinking, work, negotiation",Unknown,Unknown,Intern,Unknown
23,1,"c, design, java, database, sql, computer, software, javascript, software development, programming, data structures, software developer, code, web, source, algorithms, application, agile, data","problem, collaboration, time, teamwork, organization, responsibility, learning, agile, work, analytical",Unknown,Master,Unknown,"development, code, application, web, develop"
24,1,"c, application development, software, api, application, test, software development",work,network,Bachelor,Intern,"test, api, development, application"
25,1,"c, cloud services, design, unit testing, web services, security, performance, docker, sql, computer, test automation, software, backend, nosql, aws, javascript, continuous, azure, programming, git, software development, software developer, google, code, coding, containerization, cloud, version control, troubleshoot, frontend, application, restful apis, backend development, agile, continuous integration, data, scrum","communication skills, analytical thinking, time, collaborative, feedback, active, learning, agile, written, work, scrum, communication, verbal","testing methodologies, version control systems, testing",Unknown,Intern,"development, code, testing, web, application, test, automated"
26,1,"c, design, computer, version control, full, git","communication skills, creativity, collaboration, feedback, problem solving, learning",version control systems,Unknown,Unknown,Unknown
27,1,"data, algorithms, computer, version control, system, software, go, test, system test, integration, software engineering, docker, software development","project, teamwork, time, critical, task, learning, communication",version control systems,Unknown,Senior,"test, system, development"
28,1,"rest api, design, web services, software, api, soap, performance, test, sql","responsibility, teamwork, analytical thinking, problem solving",Unknown,Unknown,Senior,"development, api, web, test, develop, rest"
29,1,"build, full, software, test, data","collaborative, feedback, learning, work, analytical",Unknown,Bachelor,Entry Level,"test, develop, development"
30,1,"app development, design, build, integration, data","learning, work",Unknown,Unknown,Unknown,"develop, development"
31,1,"system, software, computer programming, application, agile, data, programming","initiative, problem solving, responsibility, task, agile, communication",Unknown,Unknown,Unknown,"system, application"
33,1,"c, software engineer, oop, deploy, design patterns, software, code, java, integration, programming","work, teamwork",Unknown,Unknown,Unknown,"deploy, code, development"
34,1,"design, typescript, software, backend, java, javascript, rust, unit testing, programming","communication skills, project, written, work, independent",testing,Unknown,Senior,"development, testing"
51,1,"python, c, shell, matlab, php, java, swift, sql, typescript, html, computer, javascript, code, go, test, coding, functional, ruby, application, rust, data","flexibility, work, client",Unknown,Unknown,Unknown,"test, code, development, application"
52,1,algorithms,"learning, organization, feedback, peer",Unknown,PhD,Senior,Unknown
53,1,"design, cloud, postgresql, java, aws, javascript, sql, rest",Unknown,Unknown,Unknown,Unknown,rest
54,1,"design, typescript, build, computer, css, api, software, frontend, web, test, javascript, coding, unit testing","communication skills, client, written, work, independent, communication",testing,Unknown,Unknown,"development, api, testing, web, test, develop"
55,1,"design, typescript, software, backend, java, javascript, rust, unit testing, programming","communication skills, project, written, work, independent",testing,Unknown,Senior,"development, testing"
56,1,"c, web services, mongodb, version control, kubernetes, software, postgresql, unit, application, javascript, git, docker, software development, programming","analytical thinking, teamwork, problem solving, active, work",version control systems,Unknown,Unknown,"application, develop, development, web"
57,1,"design, cloud, build, security, software, performance, data","accountability, growth mindset, problem solving, responsibility, flexibility, learning, active listening, analytical, verbal, creativity, critical thinking, initiative, work, communication, emotional, teamwork, written communication, presentation skills, growth, feedback, client, empathy, active, curiosity",Unknown,Bachelor,Entry Level,development
76,1,"c, html, css, full, software, code, performance, application, unit, troubleshooting, web, backend, functional, frontend, build, sql, scalability","work, time",testing,Master,Mid-Level,"development, code, testing, application, web, automated, framework"
77,1,"github, build, full, postgresql, application, continuous, agile, data, database","collaboration, time, growth, flexibility, learning, agile, work",Unknown,Unknown,Unknown,"development, application"
78,1,"design, debugging, php, security, api, java, performance, database, authentication, sql, docker, software engineer, kubernetes, backend, nosql, aws, javascript, azure, security best practices, web, cloud, frontend, application, troubleshooting, data","learning, work, debugging",performance optimization,Unknown,Unknown,"development, api, web, application, develop"
79,1,"c, design, debugging, full, software, code, java, aws, microservices, test, unit, performance, functional, application, data, azure, documentation, software development","collaboration, debugging, time, growth, critical, learning, work, documentation",Unknown,Unknown,Unknown,"development, creation, code, application, microservices, test, develop"
80,1,"python, c, design, debugging, algorithms, html, system, software, code, performance, application, test, java, javascript, web, troubleshooting, programming, data structures","project, debugging, teamwork, growth, work, communication","network, testing",Unknown,Unknown,"development, system, code, testing, application, test, web, develop"
81,1,"python, c, mongodb, algorithms, computer, kubernetes, software, security, web, api, backend, aws, encryption, docker, software development","communication skills, creativity, growth, critical, written, work, communication","network, testing",Unknown,Unknown,"development, api, testing, web, develop"
82,1,"design, debugging, bitbucket, build, full, system, software, code, frontend, css, frontend development, test, monitoring, deployment, github, git","project, time, debugging, teamwork, growth, learning, work, analytical, communication",testing,Bachelor,Intern,"development, system, code, testing, test, deployment"
89,1,"python, design, software developer, software applications, oop, debugging, deploy, computer, software, code, application, test, agile, git, source, programming","teamwork, debugging, agile, work, analytical, communication",testing,PhD,Unknown,"development, deploy, code, testing, application, test, develop"
90,1,"design, build, full, backend, frontend, javascript, agile, source, data, software development, rest","communication skills, project, organization, written communication, growth, responsibility, verbal, time management, learning, mentor, work, agile, communication",Unknown,Unknown,Senior,"implementation, development, rest"
91,1,"design, application development, integration testing, debugging, computer, software, code, unit, software development, programming","debugging, time, written, work, communication, verbal","network, testing",Bachelor,Unknown,"development, code, testing, application, develop"
92,1,"design, security, performance, scalability, database, rest, computer, software, postgresql, nosql, aws, continuous, devops, programming, data structures, software development, code, go, test, sprint, algorithms, cloud, build, agile, unit testing, scrum","communication skills, teamwork, time, growth, critical, empathy, responsibility, agile, work, peer, scrum, analytical, communication","agile methodologies, network, testing",Master,Unknown,"development, code, testing, test, refactoring, automated, rest"
93,1,"python, design, monitor, algorithms, build, computer, backend, performance, frontend, test, monitoring, functional, integration, data, visual, documentation","communication skills, project, time, organization, responsibility, learning, work, documentation, analytical",testing,Unknown,Unknown,"test, develop, development, testing"
94,1,"test, google, design, rest","creativity, project, adaptability, growth, active, written, work, verbal",Unknown,Unknown,Unknown,"test, rest"
95,1,"design, application development, build, computer, restful, code, backend, java, web, nosql, monitoring, agile, postgresql, software architecture, aws, data, programming","collaboration, agile, work, peer, analytical",network,Bachelor,Senior,"web, application, code, development"
96,1,"python, cloud services, design, api, performance, docker, sql, typescript, full, backend, postgresql, aws, integration, azure, git, programming, mysql, google, web, cloud, version control, restful, frontend, unit, restful apis, application, backend development, scalability","communication skills, work, analytical","api design, version control systems, testing",Unknown,Senior,"development, api, testing, application, web, develop"
97,1,"design, typescript, deploy, build, security, troubleshoot, code, unit, test, application, aws, jira, api development, confluence, backend development, observability, documentation","collaboration, time, collaborative, feedback, growth, active, work, documentation, communication",Unknown,Unknown,Unknown,"development, deploy, api, code, application, test, develop"
98,1,"design, data, software engineering, cloud, computer, system, frontend, web, java, test, agile, coding, programming, kotlin, swift, software development","creativity, collaboration, teamwork, mentor, agile, work, learning, curiosity, communication",Unknown,Unknown,Intern,"test, system, development, web"
99,1,"python, software engineering, algorithms, build, computer, mysql, software, version control, scala, aws, devops, data, github, programming","time, learning, work, communication",Unknown,Master,Unknown,"implementation, framework, develop, development"
100,1,"python, design, full, computer, code, java, aws, test, troubleshooting, application, data, sql, documentation","communication skills, project, time, growth, presentation skills, work, documentation, analytical",Unknown,Bachelor,Intern,"development, code, application, test, develop, automated"
101,1,"python, c, algorithms, matlab, computer, system, software, performance, test, continuous, software development, documentation, programming","teamwork, analytical thinking, problem solving, responsibility, time management, learning, work, documentation",Unknown,Bachelor,Senior,"test, system, development"
102,1,"design, algorithms, design patterns, security, software",work,Unknown,Unknown,Senior,Unknown
103,1,"design, oop, html, css, design patterns, version control, system, web, software, go, javascript, programming, software development","teamwork, analytical thinking",Unknown,Unknown,Senior,"system, framework, development, web"
104,1,"c, design, software engineer, oop, build, computer, design patterns, software, code, java, full, test, software architecture, software engineering, command, programming","collaboration, collaborative, feedback, active, learning, work, peer",Unknown,Bachelor,Intern,"test, code, development"
105,1,"design, typescript, software, backend, java, javascript, rust, unit testing, programming","communication skills, project, written, work, independent",testing,Unknown,Senior,"development, testing"
106,1,"c, design, algorithms, matlab, computer, software, test, functional, integration, programming","collaboration, attention, critical thinking, growth, problem solving, work, communication",network,Unknown,Unknown,"test, develop, development"
107,1,"c, design, performance, test, data, github, software development, programming","communication skills, creativity, collaboration, collaborative, written communication, critical, feedback, problem solving, task, attention to detail, analytical, communication",Unknown,Unknown,Mid-Level,"test, creation, develop, development"
108,1,"python, c, design, software engineer, algorithms, deploy, computer, cloud, google, performance, aws, integration, data, azure, programming","communication skills, project, collaborative, growth, responsibility, learning, mentor, work",Unknown,PhD,Mid-Level,"deploy, automated, develop, development"
109,1,"cloud services, design, unit testing, debugging, design patterns, security, performance, app, java, swift, rest, system, kubernetes, backend, aws, continuous, devops, azure, git, code, coding, kotlin, sprint, build, version control, troubleshoot, application, restful apis, data","communication skills, collaboration, debugging, collaborative, growth, active, learning, written, work",testing,Unknown,Unknown,"development, system, code, application, testing, rest"
110,1,"oop, computer, full, software, design patterns, application, code, restful apis, agile, source, data, software development, git","collaboration, time, teamwork, organization, responsibility, learning, agile, work, analytical",Unknown,Master,Unknown,"code, develop, development, application"
111,1,"python, software engineering, build, computer, cloud, scala, java, test, continuous, coding, data, sql, programming","project, analytical thinking, presentation skills, problem solving, learning, written, communication",Unknown,Master,Entry Level,"test, develop, development"
112,1,"c, design, application development, build, computer, software, performance, application, test, web, agile, data, command, sql, software applications","communication skills, project, time, adaptability, growth, flexibility, attention to detail, agile, work, learning",testing,Unknown,Unknown,"development, testing, application, test, web, develop"
113,1,"python, cloud services, design, redis, performance, database, documentation, application development, software engineer, html, computer, full, software, postgresql, aws, javascript, deployment, devops, integration, azure, programming, software development, mongodb, google, code, web, test, go, cloud, css, agile","problem, communication skills, creativity, growth, initiative, attention to detail, written, agile, work, documentation, verbal","network, software development lifecycle, devops practices",Unknown,Unknown,"development, web application development, code, test, deployment"
114,1,"design, cloud, computer, version, software, jira, git, data, software development","verbal, written, communication",Unknown,Unknown,Unknown,"develop, development"
115,1,"python, design, continuous deployment, shell, design patterns, security, performance, documentation, monitor, software engineer, kubernetes, full, software, microservices, jira, git, software development, code, test, troubleshoot, application, continuous integration, software engineering","communication skills, mentoring, time, organization, feedback, critical, growth, mentor, written, work, learning, documentation, analytical",testing,Unknown,Mid-Level,"development, code, testing, application, test, microservices, deployment, develop, automated"
116,1,"python, c, design, software engineer, software, command","stakeholder, work, initiative, communication",Unknown,Unknown,Senior,"develop, development"
117,1,"typescript, html, computer, system, css, software, application, frontend, test, security, javascript, git, devops, azure, docker, software development, programming","problem, teamwork, learning, work, analytical, verbal",Unknown,Bachelor,Mid-Level,"test, system, development, application"
118,1,"c, design, oop, design patterns, api, database, docker, sql, typescript, computer, system, kubernetes, software, continuous, software development, code, web, containerization, cloud, application, agile, unit testing","learning, agile, work, project",testing,Unknown,Unknown,"development, system, api, code, testing, web, application"
119,1,"c, oop, software engineer, design patterns, code, java, programming","work, teamwork",testing,Unknown,Unknown,"code, develop, development, testing"
120,1,"oop, redis, performance, github, typescript, software, backend, postgresql, aws, microservices, continuous, javascript, devops, integration, git, mongodb, code, web, go, functional, build, cloud, css, version control, frontend, unit, unit testing","communication skills, growth, flexibility, learning, work","network, microservices architecture, testing",Unknown,Senior,"development, code, web, testing, microservices, framework"
121,1,"python, data, software engineer, monitor, build, kubernetes, cloud, software, code, computer, application, go, observability, monitoring, test, source","work, learning, project",Unknown,Unknown,Unknown,"development, code, application, test, develop"
122,1,"python, oop, design patterns, performance, software, aws, tdd, continuous, azure, programming, data structures, google, code, web, go, test, algorithms, cloud, version control, modular, software engineering",Unknown,version control systems,Unknown,Senior,"development, code, web, test, develop"
123,1,"design, typescript, backend, web, frontend, performance, code, restful apis, unit, integration, git","organization, learning, work",testing,Unknown,Unknown,"testing, develop, code, web"
124,1,"web services, swift, typescript, backend, aws, microservices, javascript, integration, programming, data structures, security best practices, code, web, test, coding, algorithms, cloud, build, frontend, application, restful apis","project, time, task, work, communication",Unknown,Unknown,Expert,"development, code, creation, web, microservices, test, application, develop"
125,1,"python, cloud services, design, php, api, app, java, database, sql, documentation, rest, typescript, html, full, test automation, backend, postgresql, aws, javascript, mysql, google, code, web, go, build, css, cloud, application, frontend, frontend development, modular, unit testing","project, time, collaborative, growth, critical, learning, work, documentation, analytical",testing,Unknown,Senior,"development, api, code, web, application, testing, test, develop, rest"
127,1,"design, api, performance, typescript, computer, backend, javascript, integration, git, security best practices, code, web, build, css, version control, troubleshoot, frontend, unit, restful apis, application, monitoring, frontend development, agile, data, scalability","feedback, agile, work",version control systems,Unknown,Unknown,"development, api, code, web, application, develop, implementation, framework"
128,1,"c, version, cloud, test, data, sql, programming","attention, critical, initiative, time management, work, curiosity, analytical, communication",testing,Bachelor,Unknown,"test, develop, testing"
129,1,"python, c, design, algorithms, computer, software, code, java, nosql, test, continuous, programming, deployment, software development, data structures",work,testing,PhD,Senior,"development, code, testing, test, deployment, develop"
130,1,"python, oop, algorithms, cloud, kubernetes, code, application, aws, troubleshooting, devops, bash, software engineering, azure, docker, git","project, growth, critical, learning, work",Unknown,Unknown,Intern,"development, develop, code, application"
131,1,"design, design patterns, java, sql, documentation, application development, system, full, software, computer, javascript, integration, command, programming, data structures, mongodb, web, coding, algorithms, cloud, application, backend development, data","time, interpersonal skills, critical thinking, problem solving, responsibility, work, verbal communication, documentation, analytical",Unknown,Unknown,Unknown,"development, system, web application development, application, web, develop, framework"
132,1,"python, c, data, software developer, build, computer, test automation, java, source control, application, web, devops, programming, git, software engineering, command, software development","responsibility, flexibility, attention to detail, learning, work, analytical",Unknown,PhD,Unknown,"development, web, application, test, develop"
133,1,"sql, html, system, test automation, software, backend, computer, javascript, command, programming, google, code, web, go, software lifecycle, coding, build, css, application, frontend development, agile, data","analytical thinking, organization, growth, responsibility, time management, learning, agile, work",testing,Unknown,Unknown,"development, system, code, testing, web, test, application"
134,1,"c, oop, design patterns, code, java, programming","work, teamwork",testing,Unknown,Unknown,"code, development, testing"
135,1,"design, oop, redis, design patterns, security, performance, java, software engineer, system, computer, software, backend, aws, programming, code, build, cloud, software architecture, data, scalability","attention to detail, work, stakeholder, time",Unknown,Unknown,Unknown,"system, code, development"
136,1,"c, design, cloud, computer, api, performance, data, programming","work, learning, project, attention to detail",Unknown,Bachelor,Intern,"api, development"
137,1,"c, google cloud platform, redis, system architecture, app, database, rest, typescript, computer, software, backend, postgresql, javascript, deployment, continuous, git, mongodb, deploy, code, test, go, build, version control, cloud, application, restful apis, agile, data","creativity, collaboration, teamwork, responsibility, task, agile, work, communication",Unknown,Unknown,Senior,"deploy, system, code, application, test, deployment, develop, rest"
138,1,"design, oop, build, computer, design patterns, version control, code, performance, unit, microservices, system, continuous, agile, coding, swift, continuous integration, integration, git","communication skills, feedback, initiative, mentor, agile, agile mindset","performance optimization, microservices architecture, testing",Unknown,Unknown,"development, system, code, testing, microservices, develop, framework, refactoring"
139,1,"python, design, typescript, html, css, version control, software, code, web, performance, application, javascript, source, visual, git","communication skills, project, attention to detail, learning, work, curiosity",version control systems,Bachelor,Unknown,"development, code, application, web, framework"
141,1,"python, design, unit testing, oop, web services, redis, php, security, database, docker, sql, rest api, system, computer, software, backend, kubernetes, nosql, microservices, continuous, programming, software development, git, mysql, code, web, go, build, cloud, version control, monitoring, data",learning,"microservices architecture, version control systems, security principles, testing",Unknown,Unknown,"development, system, api, code, web, testing, microservices, develop, rest"
143,1,"performance tuning, software engineering, algorithms, cloud, performance, go, observability, monitoring, deployment, data, database, docker, documentation, software development, rest","problem, communication skills, time, attention, collaborative, organization, growth, flexibility, learning, work, documentation, communication","network, testing",Unknown,Unknown,"development, testing, deployment, automated, framework, rest"
144,1,"c, typescript, html, full, system, restful, code, application, api, css, javascript, api development, integration, authentication, software development","teamwork, initiative, responsibility, learning, work, communication",Unknown,Unknown,Mid-Level,"development, system, api, code, application, develop, framework"
145,1,"design, github, typescript, computer, jira, javascript, git, programming, software development, data structures, code, web, coding, algorithms, css, frontend, restful apis, frontend development, agile, data","project, analytical thinking, written communication, growth, feedback, verbal, flexibility, learning, agile, work, communication",testing,Unknown,Mid-Level,"development, code, testing, web, develop, automated"
146,1,"design, application development, software engineering, computer, version control, software, code, app, frontend, troubleshooting, frontend development, programming, integration, source, github, command, software development","critical, task, learning, work, communication",version control systems,Unknown,Unknown,"code, develop, development, application"
147,1,"redis, performance, app, html, full, computer, software, backend, javascript, git, google, code, web, go, coding, build, css, version control, cloud, frontend, application, restful apis, monitoring, data","accountability, project, collaboration, task, learning, work, work ethic, curiosity, communication",testing,Bachelor,Expert,"development, code, testing, application, web"
148,1,"design, ruby, redis, api, backend, app, unit, code, postgresql, aws, performance","flexibility, active, work, collaboration",api design,Unknown,Senior,"api, development, code"
149,1,"python, design, debugging, redis, performance, java, docker, documentation, software engineer, typescript, full, kubernetes, backend, nosql, microservices, aws, continuous, software development, code, web, kotlin, sprint, containerization, build, cloud, restful, troubleshooting, agile, data, scalability","learning agility, collaboration, debugging, time, collaborative, adaptability, critical thinking, project, client, learning, agile, work, stakeholder, documentation, analytical, communication","microservices architecture, testing",Unknown,Unknown,"development, code, testing, web, microservices, develop, implementation, refactor, framework"
150,1,"design, redis, app, java, github, sql, software engineer, system, computer, backend, nosql, microservices, continuous, javascript, git, software development, code, web, version control, restful, frontend, agile, continuous integration, data","collaborative, feedback, written communication, agile, work, verbal","restful services, microservices architecture, version control systems",Master,Senior,"development, system, code, web, microservices, implementation, automated, framework"
151,1,"c, design, oop, computer, design patterns, full, code, java, software architecture, modular, coding, software engineering, command, programming","communication skills, collaboration, collaborative, feedback, learning, work",Unknown,Bachelor,Unknown,"develop, code, development"
152,1,"data, cloud, computer, system, kubernetes, version control, code, aws, application, monitoring, devops, deployment, software engineering, azure, docker, git","collaborative, growth, learning, work",version control systems,Unknown,Unknown,"development, system, code, application, deployment, develop"
153,1,"application development, unit test, full, computer, backend, application, frontend, code, coding, data, sql, documentation","analytical, work, documentation, communication",Unknown,Bachelor,Unknown,"development, code, application, test, develop, framework, refactoring"
154,1,"c, design, html, build, application, web, visual, javascript, data, command, documentation, programming","analytical thinking, work, documentation, analytical, communication",Unknown,Unknown,Unknown,"develop, web, application"
155,1,"python, design, software engineer, code, performance, monitoring, data, sql",work,Unknown,Unknown,Senior,"develop, development, code"
156,1,"design, oop, redis, design patterns, security, performance, java, software engineer, system, computer, software, backend, aws, programming, code, cloud, software architecture, data, scalability","attention to detail, stakeholder, time",Unknown,Unknown,Unknown,"system, code, development"
169,1,"shell, full, security, application, aws, test, performance, data, azure","time, teamwork, learning, attention to detail, work",Unknown,Unknown,Unknown,"test, development, application"
170,1,"design, app, performance, documentation, typescript, monitor, google, code, web, test, go, coding, build, css, version control, troubleshoot, application, modular, data","problem, collaboration, collaborative, written communication, growth, learning, work, documentation, analytical, verbal",performance optimization,Unknown,Expert,"development, code, web, application, test, develop, implementation"
171,1,"python, debugging, cloud, computer, google, kubernetes, code, application, aws, unit, software, programming, coding, data, azure, docker, scalability, software development","debugging, learning, work, time",Unknown,Unknown,Mid-Level,"development, code, application, develop, framework"
172,1,"mongodb, typescript, redis, version control, system, mysql, kubernetes, web, api, full, tdd, javascript, sql, git, rest",growth,Unknown,Unknown,Unknown,"development, system, api, web, rest"
173,1,"python, design, algorithms, build, full, cloud, version control, performance, continuous, deployment, git, data, database, command, sql, programming","time, collaborative, growth, critical, learning, work, peer","version control systems, testing",Unknown,Expert,"development, testing, deployment, develop, framework"
174,1,"app development, design, computer, full, code, performance, application, app, restful apis, github, programming","communication skills, work",testing,Unknown,Mid-Level,"development, code, testing, application, develop"
175,1,"python, debugging, computer, performance, web, aws, deployment, integration, data, scalability, azure, docker, documentation","debugging, time, collaborative, feedback, written communication, work, documentation, independent, communication",Unknown,Unknown,Unknown,"automated, framework, deployment, web"
176,1,"c, coding, programming, programmer","feedback, responsibility, written, work, verbal communication, analytical",Unknown,Unknown,Unknown,develop
177,1,"c, design, oop, design patterns, api, performance, sdlc, database, sql, full, software, nosql, microservices, devops, deployment, software development, database integration, software developer, code, web, soap, go, test, build, restful, frontend, application, agile, data, scrum","project, time management, agile, work, scrum, communication","api design, software development lifecycle, data modeling",Bachelor,Mid-Level,"development, api, code, web, application, microservices, test, deployment, develop, legacy, framework"
178,1,"python, design, software engineering, security, performance, java, documentation, system, kubernetes, software, full, computer, javascript, bash, programming, command line, code, sprint, source, cloud, application, rust, data","accountability, collaboration, time, interpersonal skills, presentation, problem solving, responsibility, flexibility, organization skills, mentor, written, work, curiosity, learning, documentation",Unknown,Bachelor,Unknown,"development, system, code, application, develop, implementation"
179,1,"python, design, algorithms, build, computer, matlab, software, cloud, google, monitoring, data, database","communication skills, growth, initiative, work, analytical",Unknown,PhD,Unknown,develop
180,1,"design, html, computer, css, backend, code, frontend, coding, software development","work, collaborative, project",Unknown,Unknown,Unknown,"code, development"
181,1,"software, computer programming, test, authorization, continuous, database, sql, software development","teamwork, analytical thinking, problem solving, time management, learning",Unknown,Unknown,Mid-Level,"test, develop, development"
182,1,"c, design, software engineer, full, computer, software, code, backend development, continuous, coding, software engineering, software development, programming","communication skills, project, time, collaborative, feedback, critical, critical thinking, verbal, written, work, communication",Unknown,Unknown,Senior,"code, development"
195,1,"design, full, software, code, frontend, application, performance, unit, javascript, devops, continuous, integration, functional, test, documentation, software development","time, feedback, critical, growth, learning, work, documentation",testing,Unknown,Unknown,"development, code, testing, application, test, develop, implementation, automated"
196,1,"performance, app, rest, application development, typescript, html, software, javascript, continuous, command, software development, programming, data, test, go, build, css, application, agile, unit testing, scrum","creativity, collaboration, teamwork, critical, responsibility, task, agile, work, written, scrum, communication",testing,Unknown,Expert,"development, testing, application, test, automated, rest"
198,1,"design, ruby, typescript, security, performance, aws, data, software development, scalability, programming","communication skills, growth mindset, collaborative, growth, critical thinking, problem solving, active, learning, work, analytical, communication",Unknown,Unknown,Unknown,"develop, development"
199,1,"python, debugging, redis, security, source control, github, docker, kubernetes, full, software, backend, postgresql, nosql, microservices, aws, javascript, devops, bash, integration, git, software development, mongodb, deploy, code, web, go, coding, source, cloud, troubleshoot, observability, monitoring, rust","communication skills, time, debugging, mentor, work","network, testing",Unknown,Senior,"development, deploy, code, testing, web, microservices"
200,1,"design, build, application, app, data","communication skills, growth, feedback, task, learning, written, work, verbal communication",Unknown,Unknown,Intern,"develop, application"
217,2,test,"responsibility, system",system integration,Unknown,Mid-Level,Unknown
219,2,Unknown,"collaboration, change, critical, technical, incident, documentation",Unknown,Unknown,Senior,Unknown
220,2,"linux, test, windows","communication skills, time, teamwork, planning, system, critical, task, analytical",Unknown,Unknown,Senior,Unknown
221,2,python,"communication skills, reliability, collaboration, time, critical, technical, time management, attention to detail, learning, analytical, communication",Unknown,Bachelor,Mid-Level,Unknown
222,2,"linux, test, operating system, c","accountability, communication skills, collaboration, change, time, critical, system, responsibility, technical, learning, documentation, communication",Unknown,Unknown,Senior,Unknown
224,2,"linux, test, windows","technical, communication skills, system, client",Unknown,Unknown,Unknown,Unknown
225,2,java,"time, system, initiative, responsibility, learning, solution",Unknown,Bachelor,Intern,Unknown
228,2,"test, c","technical, system, learning",system integration,Unknown,Senior,Unknown
230,2,"linux, c, test, operating system","learning, system, documentation, communication",Unknown,Unknown,Senior,Unknown
233,2,"python, test, linux, debug","project, system, client, documentation, communication",Unknown,Unknown,Unknown,Unknown
234,2,"linux, windows","technical, system, documentation",Unknown,Unknown,Senior,Unknown
235,2,python,"communication skills, reliability, analytical",Unknown,Bachelor,Unknown,Unknown
236,2,debug,"accountability, communication skills, collaboration, change, analytical thinking, time, responsibility, technical, communication",Unknown,Master,Senior,Unknown
238,2,"linux, c, microcontroller, python","accountability, reliability, collaboration, initiative, technical, responsibility, time management, attention to detail, documentation, communication",Unknown,Unknown,Mid-Level,Unknown
239,2,test,"technical, initiative, project",Unknown,Bachelor,Senior,Unknown
245,2,python,"communication skills, collaboration, planning",Unknown,Unknown,Unknown,Unknown
247,2,Unknown,technical,Unknown,Unknown,Unknown,Unknown
248,2,"c, debug",initiative,Unknown,Unknown,Unknown,Unknown
249,2,"python, test, c","collaboration, responsibility, technical, learning, workflow, communication",Unknown,Master,Unknown,Unknown
250,2,Unknown,"learning, critical, change",Unknown,Unknown,Unknown,Unknown
251,2,"linux, test, debug, c","communication skills, time, teamwork, technical, task, learning, documentation, communication",Unknown,Unknown,Unknown,Unknown
