job_title,job_description,education_requirement,experience_level,tech_requirements,soft_skills,project_experience,domain_knowledge,certifications
junior data engineer,"about the job
bring your data analytics and data mining skills to a unique team seeking to understand and shape the future of marketing technology we are interested in technology adoption patterns, the respect of visitors data and the use of open source in marketing we are also interested in those marketing data analysts who are curious enough to embrace new technologies and are ready to work with unfamiliar tools, if needed
the role of a junior
data engineer
at canonical
canonical has provided developers with open source since 2004, helping them build innovations such as public cloud, machine learning, robotics or blockchain marketing at canonical means being at the forefront of innovation, for our customers and for our own martech stack were on the look out for a marketing data analyst to join our team and execute on our growth hacking strategy
the ideal candidate will be passionate about technology, technology marketing and the use of technology in marketing you will prefer to work in an environment that has emphasis on ownership of campaigns, collaboration, learning, curiosity and a drive to continually improve oneself  the team  the organisation you will also love to problem solve, get handson, experiment, measure and use automation to make daily life easier
the marketing team at canonical drives commercial outcomes for the company across its portfolio of products and grows the addressable market through digital marketing campaigns, lifecycle management, events, partnerships and community development if these things are important to you and youre motivated by driving data engineering, delighting customers and filling the sales funnel, we want to talk with you
this role sits in the marketing team reporting to the growth engineering manager
location
this role will be based remotely in the emea region
what your day will look like
utilise advanced data analytics to grow canonicals product adoption and market penetration
focus on quantitative and qualitative data analytics to find insights and meaningful business outcomes
design and conduct experiments with data, visualisation and insights into canonicals target audiences
collaborate with stakeholder teams product management, engineering, information systems, finance, revops, etc to improve the data and tool ecosystem
put in place and maintain systems to ensure teams across the company have selfservice access to data dashboards
what we are looking for in you
background in data science, mathematics, actuarial science, or engineering
knowledge in advanced statistics, data sciences, codingscripting languages python, js, etc, and databases sql, etc
strength in data analytics and visualisation looker studio, tableau, apache superset, etc
ability to translate business questions to key research objectives
ability to identify the best methodology to execute research, synthesise and analyse findings
excellent writing and communication skills
willingness to examine the status quo and resilient in the face of challenges
what we offer you
your base pay will depend on various factors including your geographical location, level of experience, knowledge and skills in addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation our compensation philosophy is to ensure equity right across our global workforce
in addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process
fully remote working environment  weve been working remotely since 2004
personal learning and development budget of 2,000 usd per annum
annual compensation review
recognition rewards
 annual holiday leave
parental leave
employee assistance programme
opportunity to travel to new locations to meet colleagues at sprints
priority pass for travel and travel upgrades for long haul company events
about canonical
canonical is a pioneering tech firm that is at the forefront of the global move to open source as the company that publishes ubuntu, one of the most important open source projects and the platform for ai, iot and the cloud, we are changing the world on a daily basis we recruit on a global basis and set a very high standard for people joining the company we expect excellence  in order to succeed, we need to be the best at what we do
canonical has been a remotefirst company since its inception in 2004 work at canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game canonical provides a unique window into the world of 21stcentury digital business
canonical is an equal opportunity employer
we are proud to foster a workplace free from discrimination diversity of experience, perspectives, and background create a better work environment and better products whatever your identity, we will give your application fair consideration",bachelor,junior,"python, javascript, sql, databases, looker studio, tableau, apache superset, statistics, data science, data experimentation, open source, ubuntu","curiosity, problemsolving, communication, resilience, collaboration, analytical thinking, learning mindset, technical writing","data experimentation, dashboard development, bi system implementation, crossfunctional collaboration, marketing data analysis","martech, open source, growth analytics, digital marketing, ubuntu ecosystem",
software engineer  pythongolang  kubernetes,"about the job
as a member of the kubernetes product team, you will build the operators and addons the former, offering complete lifecycle management of missioncritical components, and the latter, a zeroops experience for seamlessly integrating projects into your kubernetes
you will gain familiarity with the latest features in kubernetes and look to incorporate the best of opensource to bring functionality to our endusers you will collaborate with industry peers and partners to bring the right solutions to our customers
this is an exciting opportunity for a software engineer passionate about open source software, linux, golang, python and kubernetes
location
 this is a remote position available in emea and the americas
what you will focus on
write highquality code to create new features
debug issues and interact with a vibrant community
collaborate proactively with a distributed team
work with helpful and talented engineers including experts in many fields
work from home with global travel 2 to 4 weeks for internal and external events
what we are looking for in you
you are a golang developer also fluent in python
you have experience with kubernetes
you have strong written and verbal communication skills
you have a bachelors or equivalent in computer science, stem or similar degree
you love technology and working with brilliant people
what we offer you
we consider geographical location, experience, and performance in shaping compensation worldwide we revisit compensation annually and more often for graduates and associates to ensure we recognise outstanding performance in addition to base pay, we offer a performancedriven annual bonus we provide all team members with additional benefits, which reflect our values and ideals we balance our programs to meet local needs and ensure fairness globally
distributed work environment with twiceyearly team sprints in person
personal learning and development budget of usd 2,000 per year
annual compensation review
recognition rewards
annual holiday leave
maternity and paternity leave
employee assistance programme
opportunity to travel to new locations to meet colleagues
priority pass, and travel upgrades for long haul company events
about canonical
canonical is a pioneering tech firm at the forefront of the global move to open source as the company that publishes ubuntu, one of the most important open source projects and the platform for ai, iot and the cloud, we are changing the world on a daily basis we recruit on a global basis and set a very high standard for people joining the company we expect excellence  in order to succeed, we need to be the best at what we do canonical has been a remotefirst company since its inception in 2004 working here is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game
canonical is an equal opportunity employer
we are proud to foster a workplace free from discrimination diversity of experience, perspectives, and background create a better work environment and better products whatever your identity, we will give your application fair consideration",bachelor,senior,"golang, python, kubernetes, linux, operator development, addon development, opensource, debugging, distributed systems","communication, collaboration, selfmotivation, proactivity, curiosity","kubernetes operator development, addon integration, opensource contribution, distributed team collaboration, debugging projects","cloudnative, kubernetes, opensource, devops, infrastructure automation",
ubuntu core software engineer,"about the job
redefine the linux experience in the embedded environments with the smallest, most secure, and updatable operating system in the iot market this is an opportunity for a software engineer passionate about open source software, linux, security, and the developer experience this challenging role demands a high degree of technical skill with lowlevel operating systems, kernel, and device firmware
our mission is to allow everyone to build robust solutions in various fields including but not limited to iot, automotive, and aviation using the next generation secure embedded linux operating system in a simple solution we define a reliable and secure set of device recovery mechanisms that enable device manufacturers to simplify and standardise the field operations for fleets of heterogeneous appliances
as an ubuntu core team member, youll be designing and implementing software that runs on various cpu architectures, such as arm, riscv, and x86 you will work on boot mechanisms, bootloaders, storage partition layout, device trees, kernel and services
build a rewarding, meaningful career working with the best and brightest people in technology at canonical, a growing international software company
what youll do
integrate diverse bootloaders and maintain gadget snaps
write high quality code with unit tests to create new features
debug linux system level issues and produce high quality code to fix them
collaborate proactively with a distributed team
review code produced by other engineers
discuss ideas and collaborate on finding good solutions
work from home with global travel 2 to 4 times a year for internal and external events
who you are
you love technology and working with brilliant people
you are curious, flexible, articulate, and accountable
you value soft skills and are passionate, enterprising, thoughtful, and selfmotivated
you have a bachelors or equivalent in computer science, stem or similar degree
you have experience with c or golang, and shell
you have a solid understanding of linux and a modern gnulinux distribution, debian or ubuntu preferred
you have personal or professional experience with linuxcapable devices such as raspberry pi
you have experience or interest in one or more lowlevel systems and security facilities such as
bootloaders in arm and x86, such as piboot, uboot, grubuefi
systemd and units, udev, initrd, graphics
os level firmware daemons and cli applications
linux security implementations  tpm, fde, luks, hsm, etc
you may have experience or knowledge of yocto
what is canonical
canonical is a growing international software company that works with the opensource community to deliver ubuntu, the worlds best free software platform our services help businesses worldwide to reduce costs, improve efficiency and enhance security with ubuntu
we are proud to foster a workplace free from discrimination diversity of experience, perspectives, and background create a better work environment and better products whatever your identity, we will give your application fair consideration
stack",bachelor,senior,"ubuntu core, embedded linux, c, golang, shell, bootloaders, uboot, grub, piboot, systemd, udev, initrd, firmware daemons, arm, riscv, x86, tpm, fde, luks, hsm, linux kernel, device tree, storage layout, yocto","curiosity, collaboration, communication, accountability, flexibility, selfmotivation, code review","embedded os development, bootloader integration, secure os design, crossplatform systems, firmware tools, tpm integration","embedded systems, iot, linux internals, lowlevel programming, system security, firmware architecture",
game developer,"about the job
founded in 2021, paxie games is one of the fastestgrowing game companies, reaching millions of players worldwide
at paxie games, we dont just create gameswe build the technology our teams need to successfully maintain and evolve them over the years, ensuring each department has the tools required to work efficiently and keep our games thriving
we are looking for a game developer to join our team
we, at paxie games, pride ourselves on a cohesive and fun working environment that boosts our teams creativity and achievement we always put our team first, and we know that what we provide is important not only to your work but to your life too
responsibilities
developing top chart casual mobile games using unity
contributing game design  new features with the product team
creating wellstructured code to be updated easily
requirements
enthusiasm for developing highquality games
fluency in english
hands on experience in unitycreating games
bsmsphd degree in computer science or related field
excellent understanding of game programming patterns, software architecture design, and solid coding principles
excellent understanding of and practical experience with c experience in other languages is a plus
comfortable with speakingreading english
good memory, and cpugpu optimization skills
comfortable with modern version control systemsbranching git and gitflow
working from office office location  kadikoyistanbul
benefits
competitive salary with performancebased bonuses
monthly ticket for your food expenses
comprehensive private medical insurance
unlimited beverages  snacks in the office
transportation reimbursement
continuous learning opportunity with a fastpaced working environment",bachelor,junior,"unity, c, game architecture, software design patterns, solid principles, git, gitflow, performance optimization, memory optimization, gpu optimization","creativity, collaboration, english proficiency, selfmotivation, enthusiasm, maintainability","unity game development, feature design collaboration, performancefocused game projects, version control collaboration","mobile gaming, casual games, unity game development, game lifecycle",
product specialist new grad,"about the job
about us
we were founded in 2017 with the motivation to reach people globally by giving them unique and unforgettable experiences with disruptive products our games have reached over 35 billion people this could only be done by gathering exceptional talent and creating a culture to enhance team spirit and creativity we are looking for passionate teammates to join our team
what youll be doing
creating and executing creative projects to design engaging features that will create unique user experiences
participating in product discussions and meetings
preparing and maintaining project documentation
finding relevant references for the projects by staying up to date with the market trends
desired skills and experiences
fresh graduates from top universities
excellent communication skills
interest and passion for casual puzzle games
proficiency in excel
being datadriven and resultsoriented
what makes our team so unique
feedback and transparency are at the heart of everything we do
exceptional and passionate peopleteam members
every idea counts
neverending learning
we never stop asking the questions why and how
our perks
team events and trips
great food
onsite gym
full health benefits
compensation for paid military service
good job games coin program that lets you have unforgettable experiences eg going on a cruise trip to norway or seeing the northern lights
this is an onsite role in istanbul, sarıyer unfortunately, we do not offer a fullyremote working option",bachelor,new grad,"excel, data analysis, datadriven thinking","communication, creativity, curiosity, documentation, teamwork, passion for gaming, proactive thinking, feedback culture","creative feature ideation, user experience projects, market research, project documentation","casual games, puzzle games, mobile gaming ux, game design process",
"mechanical engineer at innovative drone startup solidworks, 3d printing, manufacturing","about the job
about onesec
onesec is making food delivery 3 times faster and 10 times cheaper, by developing small ai powered delivery drones visit our website for more info wwwoneseccom
internship overview
we are thrilled to offer an mechanical engineering internship focused on design and manufacturing of drone systems
this role is ideal for those passionate about mechanical engineering, working with 3d printed parts and composites your main project will be to redesign the landing device for our autonomous delivery drones
key responsibilities
engage in diverse manufacturing tasks, including assembly of drone components, working with carbon fiber composites, and fabricating 3d printed parts
preparing carbon fiber composite molds
design autonomous landing device
build in house windtunnel testing device
collaborate with our engineering team to refine manufacturing processes and enhance production efficiency
requirements
strong cad skills, ideally solidworks
can start soon, and work full time for 23 months
keen on learning and participating in various stages of drone technology manufacturing
a proactive, problemsolving mindset
excellent team collaboration skills and effective communication in english
what we offer
be part of a fast growing startup, working directly together with the founding team
paid internship
potential job opportunities
a unique opportunity to gain handson experience in the cuttingedge field of drone technology
exposure to a variety of manufacturing techniques and materials, including advanced composites and 3d printing
a chance to contribute to significant projects in a rapidly evolving industry",,intern,"solidworks, cad, 3d printing, carbon fiber composites, mechanical prototyping, wind tunnel testing, manufacturing processes","proactivity, problemsolving, teamwork, english communication, eagerness to learn","autonomous landing system design, composite fabrication, wind tunnel development, drone component prototyping","drone technology, mechanical design, aerospace systems, additive manufacturing, composite materials",
qa tester,"about the job
rollic is an istanbulbased game developer and publisher
founded in 2019 and acquired in october 2020 by zynga, who joined the taketwo roof as of may 2022
rollic has over 28 billion downloads across its diverse portfolio of games and, thanks to an intensive development process utilizing a massive test pipeline, has a steady cadence of globally hit titles such as
color block jam,
twisted tangle, power slap, seat away, screw jam, tangle master 3d, high heels, and fill the fridge,
all of which have gained millions of downloads worldwide within a few months after their release
discover our perks and benefits
competitive salary to help you reach your highest potential
stock allowance become a taketwo shareholder
meal compensation
relocation support to istanbul
stateoftheart equipment in your welcome package
gaming room  lounge area to relax and recharge
a petfriendly office where your furry friends are welcome
gym area in the rollic office
private health insurance
247 online wellbeing  mental health support
learning  development via taketwos employee program
a chance to take responsibility and improve your skills continuously
we are looking for qa tester,
main responsibilities
creating test scenarios with the product team manual game play tests
executing test scenarios with multiple devices for games
verifying and reporting bugs
cooperating closely with developers and designers to make sure that every deploy is free of bugs
managing release processes for android and ios platforms
analyzing and reporting features of various games
preparing documents related to test and analysis results
acting as a gameplay tester
desired skills and qualifications
bachelors degree
video game design or similar program graduates
strong knowledge of mobile game industry
mobile game player experience
passion for games, attention to detail, strong analytical skills
willingness to learn and ability to keep up with qa trends and mobile game news",bachelor,junior,"manual testing, bug reporting, ios testing, android testing, release management, test documentation","attention to detail, analytical thinking, passion for gaming, willingness to learn, collaboration","test scenario development, gameplay testing, multidevice testing, bug verification, feature analysis, release process qa","mobile gaming, qa in gaming, game development lifecycle, game publishing, bug tracking systems",
cevahir levis full time stylist,"about the job
job description
are you
confident and driven
passionate and a team player
selfmotivated with a natural approach to sales
at levis we believe in originality, making an impact and standing up for what is important wed love for you to join our team
as an instore sales stylist we want you to bring our values to life through delivering exceptional customer service wed like you to stand out and have a lasting impression on our customers through your knowledge of our heritage, products and offering a range of styles to suit their needs
part of your experience in joining levis includes indepth product knowledge training, sales techniques and how to develop your skill sets further to exceed your individual targets and work as a team to achieve store goals your role as a sales stylist will be crucial as part of the stores success on a day to day basis
as part of lsco you will be entitled to some incredible benefits, competitive salary and the opportunity to work for an iconic brand
location
cevahir, istanbul, turkey
full timepart time
full time
current lsco employees, apply via your workday account",,junior,,"confidence, motivation, teamwork, customer service, communication, passion, sales mindset, product knowledge","retail sales, customer styling, product promotion, sales training application, store operations","fashion retail, instore experience, apparel sales, levis product knowledge",
mathematics teacher online,"about the job
with its innovative education system, it will participate in our trainers who provide online services to students and parents in 81 provinces of turkey with nearly 100 
universities
mathematics teaching
or 
maths
graduated from departments,
effective in using educational technologies,
friendly and dynamic,
prone to teamwork,
has technical competence to teach online,
strong communication,
student oriented,
with enough speed internet infrastructure and camera computer for online training,
weekday 1600  2200, the weekend 1000  2200 hours
appropriate between
trainers
we are looking for
job definition
in the zoom environment, studying students with students,
to follow the academic achievements of the students and to take the relevant actions,
creating student reports and sharing with the training coordinator,
to make systemic inputs of student actions into the portal
participate in the clan studies",bachelor,junior,"zoom, online teaching tools, portal systems, educational technologies, internet infrastructure","communication, teamwork, student orientation, friendliness, selfdiscipline, responsibility","online teaching, academic performance tracking, student reporting, portal data entry, institutional collaboration","mathematics education, online tutoring, academic coaching, secondary education",
research specialist,"about the job
about darkex
darkex aims to be leading cryptocurrency service platform headquartered in dubai, with additional entities in panama, cayman, and georgia as a pioneer in the rapidly evolving digital asset industry, darkex provides a comprehensive range of services including trading, asset management etc to clients worldwide
with a commitment to compliance, security, and innovation, darkex is dedicated to providing reliable and transparent services that meet the needs of both individual and institutional investors in the digital economy
 relocation to tirana  albania is mandatory
job responsibilities
colloborating with the treasury department on the management of the company status about derivative financial instruments
attendance to the live broadcast organizations on the media platforms
short, medium and long term of tracking of company status
inspection and improvement of technical and fundamental analysis of the products that our clientele receive
planning of education on the basis of inhouse staff and client request
job requirements
graduated from the faculties of finance, engineering and related ones
level 3 license of capital market activities or derivative financial instruments
at least one year of experience on the capital markets or cryptocurrency market
aware of the effects of the updates taking place in the global markets on the cryptocurrency market
specialized at the blockchain and technical and fundamental analysis
solid communication
able to take active role in media
solid analytics, high motivation and selfconfidence
willling to take responsibility, focused and tidy in the work field, resultoriented
advanced level of berbal and written communication of english
good at presentation, having the skills of solid communication and coordination
using trading platforms such as bloomberg and refinitiv
able to make understandable written statements of complex concepts and requirements and able to solve problems as well as analyzing active workflow
able to analyze and do research on market
what youll earn working in darkex
at darkex, youll find more than just a jobyoull discover a pathway to personal and professional growth in a rapidly evolving environment we offer competitive compensation packages alongside unparalleled opportunities for advancement, ensuring you can develop your skills and expertise while making a real impact in the world of cryptocurrency and finance
our commitment to continuous learning means youll have access to resources and mentorship to stay ahead of the curve as part of our team, youll collaborate with industry leaders on groundbreaking projects that are shaping the future of finance and with a supportive and flexible work environment, we prioritize your wellbeing and worklife balance join darkex today and embark on a journey where your potential knows no bounds",bachelor,junior,"blockchain, technical analysis, fundamental analysis, bloomberg, refinitiv, market research, derivatives, cryptocurrency trading, workflow analysis","communication, motivation, public speaking, responsibility, presentation, coordination, result orientation, english proficiency, concept simplification","financial tracking, derivative analysis, live media participation, internal training planning, crypto market analysis, treasury coordination","capital markets, cryptocurrency, blockchain, derivatives, global financial trends, financial modeling","capital market license level 3, derivative instruments license"
database administrator,"about the job
are you ready to build the future with us
we were established in 2012 to enlighten our customers path with the excitement of creating value in the technology world
as we continue our way as an rd center since 2017, we continue to be one of the new companies that value people, pursue new technologies with passion, and break grounds in the it sector with our agile and reliable working culture, and we are looking for a 
database administrato
r for our
database platform team

desired skills and experience
 bachelors degree in computer engineering, computer science, information technologies or related discipline
 minimum 2 years of database administration experience
 experience with database systems such as sql server, postgresql, oracle etc
 experience with public cloud data services is a plus azure, gcp, aws, mongodb atlas
 experience with open source migrations
 experience with windowssql high availability, patroni postgresql cluster technologies always on, clustering, mirroring, log shipping
 identifying performance bottlenecks and implementing effective database optimization strategies to ensure high availability, scalability, and faster query execution
 demonstrated experience in architecting a largescale production database platforms
 experience with merging large sets of data for imports and exports
 experience with schema design and data normalization
 sql query writing and optimization skills
 monitoring and reporting on performance metrics
 ability to produce consistent results with minimal direction and supervision
 24x7 production oncall support handling emergencies
 strong troubleshooting, communication and documentation skills
 good command of written and spoken english
özgeçmişiniz üzerinden paylaşmış olduğunuz veriler 6698 sayılı kişisel verilerin korunması kanunu kvkk kapsamında korunmakta ve işlenmektedir bu kapsamda özgeçmişinizin 2 yıl süreyle veri tabanımızda kayıtlı kalacağını belirtmek isteriz",bachelor,junior,"sql server, postgresql, oracle, azure, aws, gcp, mongodb atlas, high availability, clustering, patroni, query optimization, data migration, schema design, sql tuning, database monitoring","troubleshooting, documentation, communication, independent work, english proficiency, responsibility","database architecture, schema normalization, data importexport, ha configuration, performance optimization, cloud migration","database administration, cloud databases, system reliability, query performance, opensource migration",
database manager,"about the job
as innovance, we have been providing new generation and high quality digital transformation services for banks and institutions since 2017 newly participated in our investment portfolio
local us
artificial intelligence operates in the fields of advanced data analytics, open source databases and micro service architecture it is an engineering company that aims to integrate with other innovative solutions in the sector as well as developing its own r  d products as well as developing its own r  d products
a good team player to join local uss dynamic team
database manager
we are looking for this position is an ankara based hybrid role
task description
adding new features to the postgresql solution that works in the appliance model from the database manager point of view,
to make detailed tests of all database operations backup, restore, switchover, failover, provisioning on the solution,
poc work on the postgresql solution, to dominate all the database management processes,
to have information about postgresql plugins and their tools patroni, pgbounter, pgpoolii, pg_stat_statements, etc,
postgresql patroni cluster architecture to dominate,
designing a database for new applications, making installations and getting into operation,
database to monitor performance and capacity metrics, take care and preventive actions,
to manage the backup and return processes from backup,
to make log analysis of all database processes,
system components to follow version and patch and make updates,
to make query improvements against possible performance problems,
performance and index maintenance for performance improvement,
to have management and operating experience in the postgresql database system and to apply responsibilities in the task description in this system,
examining demands and projects, evaluating applicability, meeting with stakeholders and providing alternative solutions when necessary,
if necessary, to open a case to the integrator companies until the solution is provided
searched qualifications
postgresql database management in the field of minimum 3 years experienced,
preferably mongodb, couchbase, cassandra database management system, who has knowledge and experience,
reading, understanding, writing and speaking in english,
prone to teamwork,
analytic thinking and problem solving skills,
result and detail oriented,
we are looking for a colleague with strong communication skills and the ability to think analytical thinking
for details
innovance
website
wwwinnovancecomtr
linkedin
wwwlinkedincomcompanyinnovanceconsultancy
instagram
wwwinstagramcominnovanceconsultancy
local us
website
wwwlocaluscomtr
linkedin
wwwlinkedincomcompanylocalus",bachelor,senior,"postgresql, patroni, pgbouncer, pgpoolii, pg_stat_statements, cluster management, backup and restore, failover, performance monitoring, query optimization, index maintenance, log analysis, version management, mongodb, couchbase, cassandra","teamwork, communication, analytical thinking, problem solving, detail orientation, result orientation, stakeholder communication","postgresql poc, db feature development, plugin integration, performance tuning, database provisioning, cluster testing, vendor case management, system deployment","postgresql ecosystem, opensource databases, high availability architecture, database performance engineering, distributed database systems",
sr database administrator,"about the job
as roof stacks, we have been carrying out innovative projects since 2015 we aim to become a global actor in tourism systems, extended realityarvr, blockchain technologies, game development, and financial technology, which are our areas of expertise
we focus on creating a difference with the technologies we develop and designing the future in addition to our central office in ataşehiristanbul, we have branches in antalya and elazığ in turkey
we have strengthened our position in the global market by opening a new office in austin, usa, which hosts world technology giants from all over the world
responsibilities
install, maintain, and manage databases
create and implement backup and recovery strategies
monitor and optimize database performance
ensure database security and manage access controls
plan and apply database updates and version upgrades
troubleshoot database issues and proactively address potential problems
process, analyze, and manage large data sets efficiently
optimize queries based on user requests
resolve system and application issues related to databases and collaborate with developers
generate reports using performance monitoring tools and database management tools
required qualifications
bachelors or masters degree in computer engineering, software engineering, or a related field
strong knowledge of sql, plsql, tsql, or similar query languages
at least 7 years of experience with databases such as microsoft sql server, oracle, mysql, postgresql, or nosql
indepth knowledge of database backup and recovery methods
experience in database optimization, indexing, data integration, and reporting
familiarity with linuxunix andor windows operating systems
expertise in database security and access management
ability to write sql queries and procedures
strong written and spoken english skills
experience with database management tools is preferred
preferred qualifications
experience with database replication and high availability ha systems
knowledge of data warehouse management and etl processes
experience managing databases on aws, azure, or google cloud platform
itil or similar process management certifications
experience with devops and cicd tool integration",bachelor,senior,"sql, plsql, tsql, sql server, oracle, mysql, postgresql, nosql, backup and recovery, database optimization, indexing, data integration, linux, windows, access management, performance tuning, etl, data warehousing, aws, azure, gcp, cicd, devops, database monitoring","communication, troubleshooting, collaboration, analytical thinking, english proficiency, documentation","backup strategy, query optimization, high availability setup, replication systems, cloud database management, etl implementation, devops database integration, crossfunctional collaboration","database administration, cloud databases, data architecture, security access models, performance engineering, devops databases, data warehousing",itil certification preferred
database administrator,"about the job
as turkcell, we aim to build a sustainable organization that creates value and to bring our employer brand to the summit by providing unique human experience to our talents in line with this goal, we reflect our values to our ways of doing business
what do we value in turkcell
human focus
in order to create a unique human experience, we position people at the center of our practices, to maximize the potential of our employees and to improve their abilities
innovation
we work passionately to produce innovative solutions that make a difference in peoples lives and to discover ideas and technologies

excellence
we aim at perfection at every point we are involved in and touching, setting ourselves high standards, we get extraordinary results

partnership
as the key to success, we encourage working together and the culture of respect and transparency 
customer focus
we aim to provide extraordinary customer experiences by putting the needs of our customers at the center 
sustainability
we work for a sustainable future for our customers, employees and world

what are we waiting for
complex digital transformation, it and system integration projects at least 5 years of experience,
the fact that you have been found in the design, organization and operating processes of large scale datacenter, cloud, virtualization, system and database management, migration, server, storage and backup projects,
in this context, the topologies, services and systems of planning, optimizing, performance and capacity monitoring competence
sql server product family you are experienced in db administration, in addition, oracle, mysql, postgre management experience
to be an advanced level sql  plsql scholar,
high availability ha and disaster recovery drc infrastructures always on, clustering, log shipping, mirroring, dataguard, rac
sql server you dominate the tuning topics,
oracle, mysql, you have similar experience in postgre
sql server product family backup and recovery technologies to dominate, in addition to oracle, mysql, postgre you have similar experience
nosql database experience
dominating the itil terminology, that you have made operations with these practices
the high communication skill is high, the solution and result oriented
your ability to make a quick decision, the initiative
you know well in english
what does database administrator do in turkcell
it manages the design, organization and operating activities of it and system integration projects offered to corporate customers by turkcell digital business services
in these projects, he is the owner of service transition changge  release  deployment  service testing  validation  configuration management and service operation incident  event  problem management processes
for services, accessibility for services allows the creation of the measurementmonitoringreporting infrastructure and the protection of sla compliance
it conducts dailyperiodic maintenance and support activities of the operated services and platforms determines, evaluates and provides the coordination of the improvement areas of the services and platforms it operates
coordinates and controls 2nd level maintenance and support activities of the service and platforms educates the first level support teams
side rights and benefits
as a member of our team, you will have the opportunity to meet a series of side rights and benefits such as a competitive fee, flexible work arrangements, career development and progress opportunities details 
httpsbitlyturkcelltkusag
you can reach it through   
turkcell is an equal opportunity employer and evaluates all qualified applicants for employment, regardless of race, color, religion, gender, national origin, ethnicity, age, physical appearance or situation, civilized state, military state",bachelor,senior,"sql server, oracle, postgresql, mysql, nosql, plsql, alwayson, clustering, mirroring, dataguard, rac, backup and recovery, sql tuning, ha, drc, itil practices, database monitoring, capacity planning","communication, problem solving, result orientation, decision making, initiative, english proficiency, mentorship","database architecture, datacenter migration, hadr setup, tuning and optimization, itilbased operations, sla monitoring, customer database solutions, support process implementation","enterprise database systems, disaster recovery, high availability, itil service management, multivendor database operations, system integration",itil knowledge preferred
database manager,"about the job
would you like to be a part of a dynamic team that follows new technologies closely and whose projects are awarded worldwide
anadolu hayat emeklilik inc as a subsidiary of the türkiye iş bankası, our colleagues who add value to us and the power of technology by keeping our customers at all times it continues to improve ourselves constantly and to be an example and pioneer in the sector, we are proud of it
anadolu hayat emeklilik inc we are looking for a database specialist to be assigned in istanbul or ankara within the directorate of information processing
job description
database management,
the establishment of a relationship between the tables and the optimization of table structures,
making changes in databases,
safety and performance adjustments
the qualifications sought in the candidates
oracle database andor ms sql database management specialist,
to be the oracle database manager for at least five years or to be the manager of ms sql server database for at least five years,
to have experience in oracle, ms sql server, mongo, mysql database,
to have experience in oracle 19c version,
preferably to have experience in exadata systems,
preferably to have experience in oracle ebs,
to have a good level of sql information
candidates who provide unrealistic information about themselves when applying will be excluded from the process regardless of the stage of the procurement process
data officer anadolu hayat emeklilik aş work towers 2, levent, istanbul published by linkedin announcement automatically on linkedin with the application you will share with your resume information, only for the work interview for the work defined in the advertisement will be processed via linkedin to preliminate your compliance with third parties",bachelor,senior,"oracle 19c, sql server, mongodb, mysql, exadata, oracle ebs, sql, database optimization, performance tuning, database security","accuracy, responsibility, security awareness, teamwork","database schema design, db configuration, performance tuning, multidatabase management, oracle ebs integration","database administration, financial systems, enterprise database operations, multivendor database environments",
"guidance, navigation and control engineer","about the job
general qualities
general qualities
 machinery, control and automation, aircraft, aviation and space, electricalelectronics, mechatronics engineering departments of universities have at least undergraduate graduation
 autonomous systems are willing to work on navigation and control systems
the theory of control, knowledge and experience about classical and modern control systems,
preferably worked on these issues in rotating wing systems,
he has done practical studies on signal analysis, signal processing and filter design,
system identification and information about the development of linearnoncorrect models,
 it has developed at least 1 project in these environments, which can use system and controller modeling software
 prone to research, development of algorithms and multiple disciplined multidisciplinary
he used programming languages such as c or c  and has experience,
knowledge about inertialy navigation systems,
 knowledge about multiple sensor fusion algorithms kf, ekf, ukf, pf,
open to teamwork and learning,
has the ability to think analytically,
high communication skills and self discipline,
snowing english at a good level,
job definition
developing control, guidance and navigation algorithms for rotating wing platforms,
 to ensure that the developed algorithms are verified and reported in the simulation environment and on real systems,
 to determine the operation scenarios required to be tested in the simulation environment and in real environment of the algorithms he developed, and to consult with the field team and other teams when necessary,
 by working in coordination with the field team, participating in the test flights of aircraft and performing the validations of the developed algorithms,
 taking part in the selection, test and integration activities of flight control system elements within the framework of control system design,
 the creation of detailed control architecture required from the first flight test to full functional flight, to take part in the design and documentation activities of flight control algorithms
 to analyze, process and contribute to the development of multiple sensor fusion algorithms
in order to evaluate the existing and future recruitment needs within the scope of titra and group companies, your personal information will be shared with the group companies in order to evaluate the existing and future recruitment needs within the scope of personal data protection law no 6698 and to evaluate the positions that may occur in the group companies that may occur in the current or future positions in the group companies to which they are connected to",bachelor,senior,"control theory, signal processing, filter design, system modeling, linearnonlinear systems, kalman filter, ekf, ukf, pf, inertial navigation systems, sensor fusion, c, c, rotating wing uavs, simulation tools","analytical thinking, teamwork, communication, selfdiscipline, eagerness to learn","control algorithm development, simulation testing, real flight validation, flight test participation, sensor fusion development, system modeling project","uav systems, flight control, autonomous navigation, aerospace control systems, sensor integration, embedded systems",
