id,category_id,technical_requirements,soft_skills,domain_knowledge,education_requirement,experience_level,project_experience
25,1,"c, cloud services, design, unit testing, web services, security, performance, docker, sql, computer, test automation, software, backend, nosql, aws, javascript, continuous, azure, programming, git, software development, software developer, google, code, coding, containerization, cloud, version control, troubleshoot, frontend, application, restful apis, backend development, agile, continuous integration, data, scrum","communication skills, analytical thinking, time, collaborative, feedback, active, learning, agile, written, work, scrum, communication, verbal","testing methodologies, version control systems, testing",unknown,junior,"development, code, testing, web, application, test, automated"
26,1,"c, design, computer, version control, full, git","communication skills, creativity, collaboration, feedback, problem solving, learning",version control systems,unknown,unknown,unknown
29,1,"build, full, software, test, data","collaborative, feedback, learning, work, analytical",unknown,bachelor,junior,"test, develop, development"
30,1,"app development, design, build, integration, data","learning, work",unknown,unknown,unknown,"develop, development"
31,1,"system, software, computer programming, application, agile, data, programming","initiative, problem solving, responsibility, task, agile, communication",unknown,unknown,unknown,"system, application"
33,1,"c, software engineer, oop, deploy, design patterns, software, code, java, integration, programming","work, teamwork",unknown,unknown,unknown,"deploy, code, development"
51,1,"python, c, shell, matlab, php, java, swift, sql, typescript, html, computer, javascript, code, go, test, coding, functional, ruby, application, rust, data","flexibility, work, client",unknown,unknown,unknown,"test, code, development, application"
53,1,"design, cloud, postgresql, java, aws, javascript, sql, rest",unknown,unknown,unknown,unknown,rest
54,1,"design, typescript, build, computer, css, api, software, frontend, web, test, javascript, coding, unit testing","communication skills, client, written, work, independent, communication",testing,unknown,unknown,"development, api, testing, web, test, develop"
56,1,"c, web services, mongodb, version control, kubernetes, software, postgresql, unit, application, javascript, git, docker, software development, programming","analytical thinking, teamwork, problem solving, active, work",version control systems,unknown,unknown,"application, develop, development, web"
57,1,"design, cloud, build, security, software, performance, data","accountability, growth mindset, problem solving, responsibility, flexibility, learning, active listening, analytical, verbal, creativity, critical thinking, initiative, work, communication, emotional, teamwork, written communication, presentation skills, growth, feedback, client, empathy, active, curiosity",unknown,bachelor,junior,development
76,1,"c, html, css, full, software, code, performance, application, unit, troubleshooting, web, backend, functional, frontend, build, sql, scalability","work, time",testing,master,mid-level,"development, code, testing, application, web, automated, framework"
77,1,"github, build, full, postgresql, application, continuous, agile, data, database","collaboration, time, growth, flexibility, learning, agile, work",unknown,unknown,unknown,"development, application"
78,1,"design, debugging, php, security, api, java, performance, database, authentication, sql, docker, software engineer, kubernetes, backend, nosql, aws, javascript, azure, security best practices, web, cloud, frontend, application, troubleshooting, data","learning, work, debugging",performance optimization,unknown,unknown,"development, api, web, application, develop"
79,1,"c, design, debugging, full, software, code, java, aws, microservices, test, unit, performance, functional, application, data, azure, documentation, software development","collaboration, debugging, time, growth, critical, learning, work, documentation",unknown,unknown,unknown,"development, creation, code, application, microservices, test, develop"
80,1,"python, c, design, debugging, algorithms, html, system, software, code, performance, application, test, java, javascript, web, troubleshooting, programming, data structures","project, debugging, teamwork, growth, work, communication","network, testing",unknown,unknown,"development, system, code, testing, application, test, web, develop"
81,1,"python, c, mongodb, algorithms, computer, kubernetes, software, security, web, api, backend, aws, encryption, docker, software development","communication skills, creativity, growth, critical, written, work, communication","network, testing",unknown,unknown,"development, api, testing, web, develop"
82,1,"design, debugging, bitbucket, build, full, system, software, code, frontend, css, frontend development, test, monitoring, deployment, github, git","project, time, debugging, teamwork, growth, learning, work, analytical, communication",testing,bachelor,junior,"development, system, code, testing, test, deployment"
89,1,"python, design, software developer, software applications, oop, debugging, deploy, computer, software, code, application, test, agile, git, source, programming","teamwork, debugging, agile, work, analytical, communication",testing,phd,unknown,"development, deploy, code, testing, application, test, develop"
91,1,"design, application development, integration testing, debugging, computer, software, code, unit, software development, programming","debugging, time, written, work, communication, verbal","network, testing",bachelor,unknown,"development, code, testing, application, develop"
92,1,"design, security, performance, scalability, database, rest, computer, software, postgresql, nosql, aws, continuous, devops, programming, data structures, software development, code, go, test, sprint, algorithms, cloud, build, agile, unit testing, scrum","communication skills, teamwork, time, growth, critical, empathy, responsibility, agile, work, peer, scrum, analytical, communication","agile methodologies, network, testing",master,unknown,"development, code, testing, test, refactoring, automated, rest"
93,1,"python, design, monitor, algorithms, build, computer, backend, performance, frontend, test, monitoring, functional, integration, data, visual, documentation","communication skills, project, time, organization, responsibility, learning, work, documentation, analytical",testing,unknown,unknown,"test, develop, development, testing"
94,1,"test, google, design, rest","creativity, project, adaptability, growth, active, written, work, verbal",unknown,unknown,unknown,"test, rest"
97,1,"design, typescript, deploy, build, security, troubleshoot, code, unit, test, application, aws, jira, api development, confluence, backend development, observability, documentation","collaboration, time, collaborative, feedback, growth, active, work, documentation, communication",unknown,unknown,unknown,"development, deploy, api, code, application, test, develop"
98,1,"design, data, software engineering, cloud, computer, system, frontend, web, java, test, agile, coding, programming, kotlin, swift, software development","creativity, collaboration, teamwork, mentor, agile, work, learning, curiosity, communication",unknown,unknown,junior,"test, system, development, web"
99,1,"python, software engineering, algorithms, build, computer, mysql, software, version control, scala, aws, devops, data, github, programming","time, learning, work, communication",unknown,master,unknown,"implementation, framework, develop, development"
100,1,"python, design, full, computer, code, java, aws, test, troubleshooting, application, data, sql, documentation","communication skills, project, time, growth, presentation skills, work, documentation, analytical",unknown,bachelor,junior,"development, code, application, test, develop, automated"
104,1,"c, design, software engineer, oop, build, computer, design patterns, software, code, java, full, test, software architecture, software engineering, command, programming","collaboration, collaborative, feedback, active, learning, work, peer",unknown,bachelor,junior,"test, code, development"
106,1,"c, design, algorithms, matlab, computer, software, test, functional, integration, programming","collaboration, attention, critical thinking, growth, problem solving, work, communication",network,unknown,unknown,"test, develop, development"
107,1,"c, design, performance, test, data, github, software development, programming","communication skills, creativity, collaboration, collaborative, written communication, critical, feedback, problem solving, task, attention to detail, analytical, communication",unknown,unknown,mid-level,"test, creation, develop, development"
108,1,"python, c, design, software engineer, algorithms, deploy, computer, cloud, google, performance, aws, integration, data, azure, programming","communication skills, project, collaborative, growth, responsibility, learning, mentor, work",unknown,phd,mid-level,"deploy, automated, develop, development"
109,1,"cloud services, design, unit testing, debugging, design patterns, security, performance, app, java, swift, rest, system, kubernetes, backend, aws, continuous, devops, azure, git, code, coding, kotlin, sprint, build, version control, troubleshoot, application, restful apis, data","communication skills, collaboration, debugging, collaborative, growth, active, learning, written, work",testing,unknown,unknown,"development, system, code, application, testing, rest"
110,1,"oop, computer, full, software, design patterns, application, code, restful apis, agile, source, data, software development, git","collaboration, time, teamwork, organization, responsibility, learning, agile, work, analytical",unknown,master,unknown,"code, develop, development, application"
111,1,"python, software engineering, build, computer, cloud, scala, java, test, continuous, coding, data, sql, programming","project, analytical thinking, presentation skills, problem solving, learning, written, communication",unknown,master,junior,"test, develop, development"
112,1,"c, design, application development, build, computer, software, performance, application, test, web, agile, data, command, sql, software applications","communication skills, project, time, adaptability, growth, flexibility, attention to detail, agile, work, learning",testing,unknown,unknown,"development, testing, application, test, web, develop"
113,1,"python, cloud services, design, redis, performance, database, documentation, application development, software engineer, html, computer, full, software, postgresql, aws, javascript, deployment, devops, integration, azure, programming, software development, mongodb, google, code, web, test, go, cloud, css, agile","problem, communication skills, creativity, growth, initiative, attention to detail, written, agile, work, documentation, verbal","network, software development lifecycle, devops practices",unknown,unknown,"development, web application development, code, test, deployment"
114,1,"design, cloud, computer, version, software, jira, git, data, software development","verbal, written, communication",unknown,unknown,unknown,"develop, development"
115,1,"python, design, continuous deployment, shell, design patterns, security, performance, documentation, monitor, software engineer, kubernetes, full, software, microservices, jira, git, software development, code, test, troubleshoot, application, continuous integration, software engineering","communication skills, mentoring, time, organization, feedback, critical, growth, mentor, written, work, learning, documentation, analytical",testing,unknown,mid-level,"development, code, testing, application, test, microservices, deployment, develop, automated"
117,1,"typescript, html, computer, system, css, software, application, frontend, test, security, javascript, git, devops, azure, docker, software development, programming","problem, teamwork, learning, work, analytical, verbal",unknown,bachelor,mid-level,"test, system, development, application"
118,1,"c, design, oop, design patterns, api, database, docker, sql, typescript, computer, system, kubernetes, software, continuous, software development, code, web, containerization, cloud, application, agile, unit testing","learning, agile, work, project",testing,unknown,unknown,"development, system, api, code, testing, web, application"
119,1,"c, oop, software engineer, design patterns, code, java, programming","work, teamwork",testing,unknown,unknown,"code, develop, development, testing"
121,1,"python, data, software engineer, monitor, build, kubernetes, cloud, software, code, computer, application, go, observability, monitoring, test, source","work, learning, project",unknown,unknown,unknown,"development, code, application, test, develop"
123,1,"design, typescript, backend, web, frontend, performance, code, restful apis, unit, integration, git","organization, learning, work",testing,unknown,unknown,"testing, develop, code, web"
127,1,"design, api, performance, typescript, computer, backend, javascript, integration, git, security best practices, code, web, build, css, version control, troubleshoot, frontend, unit, restful apis, application, monitoring, frontend development, agile, data, scalability","feedback, agile, work",version control systems,unknown,unknown,"development, api, code, web, application, develop, implementation, framework"
128,1,"c, version, cloud, test, data, sql, programming","attention, critical, initiative, time management, work, curiosity, analytical, communication",testing,bachelor,unknown,"test, develop, testing"
130,1,"python, oop, algorithms, cloud, kubernetes, code, application, aws, troubleshooting, devops, bash, software engineering, azure, docker, git","project, growth, critical, learning, work",unknown,unknown,junior,"development, develop, code, application"
131,1,"design, design patterns, java, sql, documentation, application development, system, full, software, computer, javascript, integration, command, programming, data structures, mongodb, web, coding, algorithms, cloud, application, backend development, data","time, interpersonal skills, critical thinking, problem solving, responsibility, work, verbal communication, documentation, analytical",unknown,unknown,unknown,"development, system, web application development, application, web, develop, framework"
132,1,"python, c, data, software developer, build, computer, test automation, java, source control, application, web, devops, programming, git, software engineering, command, software development","responsibility, flexibility, attention to detail, learning, work, analytical",unknown,phd,unknown,"development, web, application, test, develop"
133,1,"sql, html, system, test automation, software, backend, computer, javascript, command, programming, google, code, web, go, software lifecycle, coding, build, css, application, frontend development, agile, data","analytical thinking, organization, growth, responsibility, time management, learning, agile, work",testing,unknown,unknown,"development, system, code, testing, web, test, application"
134,1,"c, oop, design patterns, code, java, programming","work, teamwork",testing,unknown,unknown,"code, development, testing"
135,1,"design, oop, redis, design patterns, security, performance, java, software engineer, system, computer, software, backend, aws, programming, code, build, cloud, software architecture, data, scalability","attention to detail, work, stakeholder, time",unknown,unknown,unknown,"system, code, development"
136,1,"c, design, cloud, computer, api, performance, data, programming","work, learning, project, attention to detail",unknown,bachelor,junior,"api, development"
138,1,"design, oop, build, computer, design patterns, version control, code, performance, unit, microservices, system, continuous, agile, coding, swift, continuous integration, integration, git","communication skills, feedback, initiative, mentor, agile, agile mindset","performance optimization, microservices architecture, testing",unknown,unknown,"development, system, code, testing, microservices, develop, framework, refactoring"
139,1,"python, design, typescript, html, css, version control, software, code, web, performance, application, javascript, source, visual, git","communication skills, project, attention to detail, learning, work, curiosity",version control systems,bachelor,unknown,"development, code, application, web, framework"
141,1,"python, design, unit testing, oop, web services, redis, php, security, database, docker, sql, rest api, system, computer, software, backend, kubernetes, nosql, microservices, continuous, programming, software development, git, mysql, code, web, go, build, cloud, version control, monitoring, data",learning,"microservices architecture, version control systems, security principles, testing",unknown,unknown,"development, system, api, code, web, testing, microservices, develop, rest"
143,1,"performance tuning, software engineering, algorithms, cloud, performance, go, observability, monitoring, deployment, data, database, docker, documentation, software development, rest","problem, communication skills, time, attention, collaborative, organization, growth, flexibility, learning, work, documentation, communication","network, testing",unknown,unknown,"development, testing, deployment, automated, framework, rest"
144,1,"c, typescript, html, full, system, restful, code, application, api, css, javascript, api development, integration, authentication, software development","teamwork, initiative, responsibility, learning, work, communication",unknown,unknown,mid-level,"development, system, api, code, application, develop, framework"
145,1,"design, github, typescript, computer, jira, javascript, git, programming, software development, data structures, code, web, coding, algorithms, css, frontend, restful apis, frontend development, agile, data","project, analytical thinking, written communication, growth, feedback, verbal, flexibility, learning, agile, work, communication",testing,unknown,mid-level,"development, code, testing, web, develop, automated"
146,1,"design, application development, software engineering, computer, version control, software, code, app, frontend, troubleshooting, frontend development, programming, integration, source, github, command, software development","critical, task, learning, work, communication",version control systems,unknown,unknown,"code, develop, development, application"
149,1,"python, design, debugging, redis, performance, java, docker, documentation, software engineer, typescript, full, kubernetes, backend, nosql, microservices, aws, continuous, software development, code, web, kotlin, sprint, containerization, build, cloud, restful, troubleshooting, agile, data, scalability","learning agility, collaboration, debugging, time, collaborative, adaptability, critical thinking, project, client, learning, agile, work, stakeholder, documentation, analytical, communication","microservices architecture, testing",unknown,unknown,"development, code, testing, web, microservices, develop, implementation, refactor, framework"
151,1,"c, design, oop, computer, design patterns, full, code, java, software architecture, modular, coding, software engineering, command, programming","communication skills, collaboration, collaborative, feedback, learning, work",unknown,bachelor,unknown,"develop, code, development"
152,1,"data, cloud, computer, system, kubernetes, version control, code, aws, application, monitoring, devops, deployment, software engineering, azure, docker, git","collaborative, growth, learning, work",version control systems,unknown,unknown,"development, system, code, application, deployment, develop"
153,1,"application development, unit test, full, computer, backend, application, frontend, code, coding, data, sql, documentation","analytical, work, documentation, communication",unknown,bachelor,unknown,"development, code, application, test, develop, framework, refactoring"
154,1,"c, design, html, build, application, web, visual, javascript, data, command, documentation, programming","analytical thinking, work, documentation, analytical, communication",unknown,unknown,unknown,"develop, web, application"
156,1,"design, oop, redis, design patterns, security, performance, java, software engineer, system, computer, software, backend, aws, programming, code, cloud, software architecture, data, scalability","attention to detail, stakeholder, time",unknown,unknown,unknown,"system, code, development"
169,1,"shell, full, security, application, aws, test, performance, data, azure","time, teamwork, learning, attention to detail, work",unknown,unknown,unknown,"test, development, application"
171,1,"python, debugging, cloud, computer, google, kubernetes, code, application, aws, unit, software, programming, coding, data, azure, docker, scalability, software development","debugging, learning, work, time",unknown,unknown,mid-level,"development, code, application, develop, framework"
172,1,"mongodb, typescript, redis, version control, system, mysql, kubernetes, web, api, full, tdd, javascript, sql, git, rest",growth,unknown,unknown,unknown,"development, system, api, web, rest"
174,1,"app development, design, computer, full, code, performance, application, app, restful apis, github, programming","communication skills, work",testing,unknown,mid-level,"development, code, testing, application, develop"
175,1,"python, debugging, computer, performance, web, aws, deployment, integration, data, scalability, azure, docker, documentation","debugging, time, collaborative, feedback, written communication, work, documentation, independent, communication",unknown,unknown,unknown,"automated, framework, deployment, web"
176,1,"c, coding, programming, programmer","feedback, responsibility, written, work, verbal communication, analytical",unknown,unknown,unknown,develop
177,1,"c, design, oop, design patterns, api, performance, sdlc, database, sql, full, software, nosql, microservices, devops, deployment, software development, database integration, software developer, code, web, soap, go, test, build, restful, frontend, application, agile, data, scrum","project, time management, agile, work, scrum, communication","api design, software development lifecycle, data modeling",bachelor,mid-level,"development, api, code, web, application, microservices, test, deployment, develop, legacy, framework"
178,1,"python, design, software engineering, security, performance, java, documentation, system, kubernetes, software, full, computer, javascript, bash, programming, command line, code, sprint, source, cloud, application, rust, data","accountability, collaboration, time, interpersonal skills, presentation, problem solving, responsibility, flexibility, organization skills, mentor, written, work, curiosity, learning, documentation",unknown,bachelor,unknown,"development, system, code, application, develop, implementation"
179,1,"python, design, algorithms, build, computer, matlab, software, cloud, google, monitoring, data, database","communication skills, growth, initiative, work, analytical",unknown,phd,unknown,develop
180,1,"design, html, computer, css, backend, code, frontend, coding, software development","work, collaborative, project",unknown,unknown,unknown,"code, development"
181,1,"software, computer programming, test, authorization, continuous, database, sql, software development","teamwork, analytical thinking, problem solving, time management, learning",unknown,unknown,mid-level,"test, develop, development"
195,1,"design, full, software, code, frontend, application, performance, unit, javascript, devops, continuous, integration, functional, test, documentation, software development","time, feedback, critical, growth, learning, work, documentation",testing,unknown,unknown,"development, code, testing, application, test, develop, implementation, automated"
198,1,"design, ruby, typescript, security, performance, aws, data, software development, scalability, programming","communication skills, growth mindset, collaborative, growth, critical thinking, problem solving, active, learning, work, analytical, communication",unknown,unknown,unknown,"develop, development"
200,1,"design, build, application, app, data","communication skills, growth, feedback, task, learning, written, work, verbal communication",unknown,unknown,junior,"develop, application"
217,1,test,"responsibility, system",system integration,unknown,mid-level,unknown
221,1,python,"communication skills, reliability, collaboration, time, critical, technical, time management, attention to detail, learning, analytical, communication",unknown,bachelor,mid-level,unknown
224,1,"linux, test, windows","technical, communication skills, system, client",unknown,unknown,unknown,unknown
225,1,java,"time, system, initiative, responsibility, learning, solution",unknown,bachelor,junior,unknown
233,1,"python, test, linux, debug","project, system, client, documentation, communication",unknown,unknown,unknown,unknown
235,1,python,"communication skills, reliability, analytical",unknown,bachelor,unknown,unknown
238,1,"linux, c, microcontroller, python","accountability, reliability, collaboration, initiative, technical, responsibility, time management, attention to detail, documentation, communication",unknown,unknown,mid-level,unknown
245,1,python,"communication skills, collaboration, planning",unknown,unknown,unknown,unknown
247,1,unknown,technical,unknown,unknown,unknown,unknown
248,1,"c, debug",initiative,unknown,unknown,unknown,unknown
249,1,"python, test, c","collaboration, responsibility, technical, learning, workflow, communication",unknown,master,unknown,unknown
250,1,unknown,"learning, critical, change",unknown,unknown,unknown,unknown
251,1,"linux, test, debug, c","communication skills, time, teamwork, technical, task, learning, documentation, communication",unknown,unknown,unknown,unknown
253,1,unknown,"troubleshooting, critical, system, analytical",unknown,unknown,unknown,unknown
255,1,unknown,"project, teamwork, system, analytical, communication",unknown,unknown,unknown,unknown
257,1,python,"reliability, collaboration, time, clarity, technical, responsibility, learning, curiosity, communication",unknown,unknown,unknown,unknown
261,1,c,"troubleshooting, communication skills, analytical",unknown,unknown,unknown,unknown
262,1,python,"learning, problem solving",unknown,unknown,unknown,unknown
268,1,"linux, python, windows","reliability, teamwork, analytical thinking, planning, system, problem solving, time management, solution, communication",unknown,unknown,unknown,unknown
269,1,"python, test, java","collaboration, teamwork, adaptability, system, critical, initiative, problem solving, technical, learning, analytical, communication",unknown,unknown,unknown,unknown
270,1,"c, linux, operating system, microcontroller, algorithm","time, teamwork, system, critical, learning",unknown,bachelor,mid-level,unknown
271,1,unknown,"communication skills, project, collaboration, critical, client, technical, learning, solution, communication",unknown,unknown,unknown,unknown
273,1,python,learning,unknown,bachelor,unknown,unknown
274,1,java,"communication skills, learning",unknown,unknown,unknown,unknown
275,1,java,"system, problem solving, responsibility, technical, learning",unknown,unknown,unknown,unknown
277,1,"python, c, linux, test, operating system","responsibility, system, learning",unknown,unknown,junior,unknown
279,1,python,"documentation, analytical, collaboration",unknown,unknown,unknown,unknown
281,1,"c, linux, test, operating system, algorithm","system, documentation, critical, communication",unknown,unknown,mid-level,unknown
283,1,test,"task, reliability, project, system",unknown,unknown,mid-level,unknown
284,1,unknown,"project, change, time, system, initiative, technical, analytical",unknown,unknown,mid-level,unknown
285,1,unknown,unknown,unknown,bachelor,unknown,unknown
288,1,c,"time, attention, responsibility, attention to detail, stakeholder",unknown,unknown,unknown,unknown
289,1,test,"reliability, collaboration, time, system, troubleshooting, flexibility, incident, communication",unknown,unknown,unknown,unknown
294,1,"python, debug","project, collaboration, teamwork, system, communication",unknown,unknown,unknown,unknown
296,1,"linux, python, windows","problem, planning, system, technical, troubleshooting",unknown,unknown,unknown,unknown
303,1,"c, windows, linux, test, debug","communication skills, learning",unknown,unknown,unknown,unknown
310,1,test,"reliability, collaboration, technical, responsibility, learning, analytical, communication",unknown,unknown,unknown,unknown
311,1,"linux, operating system, python","system, problem solving, technical, learning, communication",unknown,unknown,unknown,unknown
313,1,"test, c","stakeholder, initiative, solution",unknown,unknown,unknown,unknown
314,1,c,teamwork,unknown,bachelor,unknown,unknown
317,1,"python, java","planning, system, client, technical, troubleshooting",unknown,unknown,unknown,unknown
318,1,"linux, python","problem, reliability, collaboration, planning, system, learning",unknown,unknown,unknown,unknown
321,1,unknown,"collaboration, adaptability, initiative, critical, problem solving, technical, learning, analytical, communication",unknown,unknown,unknown,unknown
322,1,"python, linux","technical, analytical, solution, client",unknown,unknown,unknown,unknown
324,1,"linux, test","system, documentation",unknown,unknown,unknown,unknown
325,1,python,"technical, analytical thinking",unknown,unknown,unknown,unknown
327,1,python,reliability,unknown,unknown,unknown,unknown
328,1,"python, c, test, java","communication, analytical, teamwork",unknown,unknown,unknown,unknown
330,1,python,"analytical, time",unknown,bachelor,unknown,unknown
331,1,"linux, test, microcontroller","project, time, system, documentation, communication",unknown,unknown,mid-level,unknown
333,1,unknown,"change, planning, client, technical, flexibility, solution, communication",unknown,unknown,unknown,unknown
335,1,python,"flexibility, communication skills, reliability",unknown,unknown,unknown,unknown
336,1,python,"technical, system",unknown,unknown,unknown,unknown
338,1,python,"communication skills, collaboration, teamwork, analytical thinking, learning, workflow, documentation, communication",unknown,unknown,unknown,unknown
344,1,unknown,"project, planning, system, critical, stress, analytical, communication",unknown,unknown,mid-level,unknown
345,1,"test, java","communication skills, collaboration, critical thinking, technical, learning, analytical",unknown,unknown,unknown,unknown
346,1,"c, debug","planning, project, analytical, client",unknown,unknown,unknown,unknown
347,1,unknown,"project, time, teamwork, learning, workflow",unknown,bachelor,junior,unknown
348,1,unknown,"system, problem solving, responsibility, technical, learning",unknown,unknown,unknown,unknown
350,1,unknown,"change, system, initiative, technical, communication",unknown,unknown,unknown,unknown
355,1,c,"technical, technical communication, collaboration",unknown,unknown,unknown,unknown
357,1,unknown,unknown,unknown,unknown,unknown,unknown
358,1,unknown,"project, documentation, communication",unknown,unknown,unknown,unknown
359,1,"python, test, c","project, teamwork, time, technical, learning",unknown,unknown,unknown,unknown
360,1,java,learning,unknown,unknown,unknown,unknown
364,1,unknown,"project, analytical thinking, system, responsibility, technical, learning, solution, documentation, analytical",unknown,unknown,unknown,unknown
365,1,"python, operating system, algorithm","collaboration, time, attention, system, technical, flexibility, learning, analytical, communication",unknown,bachelor,junior,unknown
366,1,"linux, python, windows","communication skills, reliability, project, adaptability, system, technical, troubleshooting, time management, analytical",unknown,unknown,unknown,unknown
367,1,python,"communication skills, time, attention, flexibility, learning, communication",unknown,unknown,unknown,unknown
370,1,python,"technical, communication skills, learning, analytical",unknown,unknown,unknown,unknown
371,1,windows,"communication skills, project, teamwork, planning, system, technical, documentation, solution, communication",unknown,bachelor,mid-level,unknown
373,1,"python, linux","technical, learning, project, time",unknown,bachelor,unknown,unknown
374,1,python,"project, collaboration, time, learning, curiosity, analytical",unknown,bachelor,unknown,unknown
375,1,unknown,"collaboration, time, change, system, technical, learning, documentation, solution",unknown,unknown,unknown,unknown
381,1,"python, windows, linux, java, test","communication skills, project",unknown,unknown,unknown,unknown
383,1,unknown,"accountability, communication skills, teamwork, attention, planning, system, technical, responsibility, learning, solution, analytical",unknown,unknown,unknown,unknown
387,1,"python, test, java","project, collaboration, planning, system, troubleshooting, learning, stress",unknown,phd,unknown,unknown
388,1,"python, c, linux, java, test","analytical, project, critical, system, problem solving, solution",unknown,unknown,unknown,unknown
390,1,c,"planning, system, solution",unknown,unknown,mid-level,unknown
392,1,java,"system, problem solving, responsibility, technical, learning",unknown,unknown,unknown,unknown
393,1,"test, debug, java","reliability, time, system, critical, technical, learning, documentation",unknown,unknown,unknown,unknown
394,1,unknown,"technical, system, learning",unknown,phd,unknown,unknown
395,1,unknown,"technical, responsibility, solution",unknown,bachelor,unknown,unknown
396,1,"c, windows, java",analytical,unknown,unknown,unknown,unknown
397,1,test,"project, teamwork, analytical thinking, initiative, problem solving, technical, learning, analytical, communication",unknown,unknown,unknown,unknown
399,1,"python, test, java","communication skills, time",unknown,unknown,unknown,unknown
401,6,"power bi, sql","communication skills, critical, learning, analytical, communication",data visualization,unknown,unknown,unknown
402,6,"python, sql","time, teamwork, system, technical, learning",unknown,bachelor,unknown,unknown
403,6,"tableau, sql","communication skills, stakeholder, analytical",unknown,unknown,unknown,unknown
404,6,"python, sql","communication skills, learning, attention to detail, curiosity, analytical",unknown,bachelor,unknown,unknown
405,6,"tableau, sql",unknown,data visualization,unknown,unknown,unknown
406,6,"python, sql, spark","communication skills, project, analytical thinking, attention, adaptability, problem solving, flexibility, learning, solution, analytical, communication",unknown,phd,unknown,unknown
407,6,"python, power bi, sql, transform","task, stakeholder, planning, communication",unknown,unknown,mid-level,unknown
408,6,"sql, etl","communication skills, teamwork, planning, system, technical, task, documentation, analytical",unknown,bachelor,unknown,unknown
409,6,visualize,"problem, project, resilience, collaboration, attention, change, system, critical, technical, solution",unknown,bachelor,mid-level,unknown
411,6,unknown,"project, time, system, client, learning, attention to detail",unknown,unknown,unknown,unknown
412,6,unknown,"flexibility, time",unknown,bachelor,unknown,unknown
413,6,"r, sas, sql","communication skills, analytical, problem solving",unknown,unknown,unknown,unknown
414,6,unknown,"analytical thinking, problem solving, technical, planning skills, analytical",unknown,unknown,unknown,unknown
416,6,"python, power bi","communication skills, learning",unknown,unknown,unknown,unknown
418,6,"python, pandas, numpy, tensorflow, transform, r, sql","solution, time",clustering,phd,unknown,unknown
